prism,dx,dy,dz
OP-270-01-A,-1.5,1.8,-1.9
OP-270-01-AB,-1.867,0.333,-0.8
OP-270-01-BB1,0.7,0.7,-1.0
OP-270-01-C1,0.05,0.55,-1.025
OP-270-01-D,0.0,1.1,-1.433
OP-270-02-A,-1.4,0.4,-1.5
OP-270-02-AB,-2.333,-0.733,-0.833
OP-270-02-BB,-1.9,0.1,-1.2
OP-270-02-C1,-2.7,0.825,-0.825
OP-270-02-D,0.3,0.9,-0.467
OP-270-03-A,-1.2,0.2,0.3
OP-270-03-AB,-2.1,-1.0,0.167
OP-270-03-BB,-2.133,-0.833,-0.433
OP-270-03-C,-2.5,0.067,-0.567
OP-270-03-D,0.533,0.833,0.467
OP-270-04-A1,-0.133,-0.267,0.533
OP-270-04-AB,-0.6,-0.767,0.333
OP-270-04-BB,-1.467,-1.967,0.2
OP-270-04-C,-0.133,-0.8,-2.433
OP-270-05-A1,-0.133,-0.333,-1.6
OP-270-05-AB,-0.4,-0.833,-2.267
OP-270-05-BB,-1.167,-1.967,-1.367
OP-270-05-C,0.367,-0.767,-3.067
OP-270-06-A1,-0.2,-4.0,-11.6
OP-270-06-AB,1.7,1.2,-10.9
OP-270-06-BB,-2.5,-2.7,-9.4
OP-270-07-A,7.5,3.9,-14.5
OP-270-07-C1,-1.65,-0.45,-2.95
OP-270-07-EE,-0.267,-1.033,-2.167
OP-270-08-A,6.4,7.6,-15.5
OP-270-08-BB,-0.1,-0.55,-12.15
OP-270-08-C,-3.033,-2.267,-8.367
OP-270-08-D,-2.833,-2.767,-7.1
OP-270-08-E,-1.833,-1.433,-2.5
OP-270-09-A,4.8,8.4,-15.4
OP-270-09-C,-3.267,-2.0,-8.133
OP-270-09-D,-2.9,-1.867,-8.133
OP-270-09-EE,3.95,1.35,-1.25
OP-270-10-A,-4.3,4.5,-9.7
OP-270-10-A1,-0.6,6.3,-8.5
OP-270-10-B,-1.833,4.3,-8.233
OP-270-10-C,-1.467,2.333,-4.833
OP-270-10-D,-1.267,2.333,-4.767
OP-270-10-E,-1.0,0.567,-1.6
OP-270-11-A1,-0.6,5.6,-5.1
OP-270-11-B,-1.4,4.4,-6.3
